s.1	s.2	s.3	s.4	s.5	s.6	s.7	s.8	s.9	s.10	s.11	s.12	s.13	s.14	s.15	s.16	s.17	s.18	s.19	s.20
prt.1	2.58223678547968	4.07815614216255	3.10883600617009	4.19474069148977	1.3192862454488	1.68956118718259	1.6151806299103	0.316403730238093	0.441245416733328	1.10249519472137	1.73987768873316	0.619701565456573	0.408856932354755	0.759299643495808	0.832430122852882	1.85613122850275	1.53354347535426	1.55830115714333	0.553435853022083	-0.0552428703512338
prt.2	-1.05237071483077	0.132454241584505	3.03887552789133	1.8436039764026	-0.211237395167132	-0.966829225206021	0.558623272460586	-0.293444363792688	-0.675929325937273	-0.2994468690478	-1.376303277149	-2.66205803088882	-0.630156556209109	-0.728651264836856	0.0862903495634378	-0.375160517507376	0.973210459493333	0.059791927470758	-0.283156258098113	-0.795390289721003
prt.3	1.86545144611212	-0.889376130284275	1.32530815667297	3.36431542434378	-0.489491144080734	-0.310152534096102	-0.467008260489899	-1.28269439290988	-0.401576752962297	-2.49929899227639	-0.23249748022887	-0.461398733296467	-0.963826130351962	-0.0164111729987708	-1.34753511801445	-0.136973121241747	-0.916924163850825	-0.232810685305118	-0.486879666753733	-1.46619797209584
prt.4	0.0466835699439891	0.294290554158532	0.925030842391362	0.018633070185281	-2.78721329499446	-3.05093205265649	-2.39011436018931	-2.78644015174827	-3.54699031542944	-2.46553718345276	-2.40809450639468	-3.06447445013248	-3.20011618573021	-2.38781542024632	-3.4182615954113	-2.27570185901697	-2.82394032862163	-2.87065553605767	-3.28011362832656	-2.11209737182107
prt.5	3.11811336087271	2.52694858558554	-0.920585451665548	1.37877423622113	-0.358681570568621	-1.74003278634106	-1.09526033961058	0.326915568897995	-1.10662235836345	-1.04765305182519	-1.07980215079073	-1.92855882498656	-1.8430839885506	-1.16984706589243	-1.30263319929279	-1.62930968751662	-1.5044820682657	-0.286406870134342	-0.940843877052965	-0.773355305033973
prt.6	1.08736310434527	2.48604464716772	-0.621758466849247	1.61505949021066	-0.744362403234909	-0.979136427537104	-1.10187421072214	-0.72508509496184	-0.6294026072894	-0.229167367023537	0.291308653723505	-0.823202882578755	-0.761538213700246	-0.713809882691688	-0.368611194629958	-1.03266218097286	-0.108174791009994	-0.0171165625016307	-1.35471811541734	-1.48987354404962
prt.7	2.22558145722486	1.55161622134453	2.27939250480985	1.42340587827602	-1.77979602883957	-2.02934089424472	-0.816280450808517	-1.38300333683141	-1.02079363961291	-1.99006452643797	-1.08692423217429	-1.21013351159397	-1.87799232968666	-0.283678991842455	-0.795463580498125	-1.91102481762627	-1.52567226398127	-1.7581817103633	0.380789433337464	-0.618626686444258
prt.8	3.0194089374913	2.69153288888438	2.58272172630197	4.91569257196826	1.04831234840039	-0.0649568295033408	-1.18068717673244	0.266148572431813	0.914000755544593	0.539511423818218	-2.67858939320089	-2.36357410627387	0.479428783687252	-1.80436927054319	3.14291869098133	0.583731013002565	0.924907416491618	1.60039634746825	-2.44734285146985	2.85638699022039
prt.9	3.11422715184216	-0.271965913275322	2.58444424940323	2.37521037105435	-0.782435757935286	-0.112863126029626	-1.1056142087725	-0.664807677127406	-0.86992885072797	-0.716285915217929	-1.26370385974863	0.505303350395948	-0.71336896702016	-0.352149932789719	-0.638438084802131	-0.0441732503799903	0.864882863984776	-0.300829890572503	-0.065240718560989	-1.05204275174306
prt.10	-0.0336850314413734	3.84912815105815	3.48058444393668	2.74047357381146	-0.108888248145228	0.262544662129767	-0.581582608456148	0.59367973670379	0.948192864250023	0.292490741542914	0.481667432578981	0.276608277904291	0.0574178313408004	0.174776739613501	0.647739919065742	0.636229081814396	0.47902875328991	-0.69137118894828	-0.0206394393933899	-0.123118944939818
