s.1	s.2	s.3	s.4	s.5	s.6	s.7	s.8	s.9	s.10	s.11	s.12	s.13	s.14	s.15	s.16	s.17	s.18	s.19	s.20
prt.1	2.568540691848	4.04301058200662	3.10631144413555	4.18496667797909	1.30767636764379	1.70466249259625	1.58775034848549	0.326876973155064	0.50782035694958	1.02154105167625	1.7532119067428	0.675222401793346	0.379497019194816	0.73758589844907	0.841699907973259	1.8759152634984	1.49403425922571	1.54407126715954	0.669538303401321	-0.101217670846582
prt.2	-1.06606680846244	0.097308681428575	3.03635096585679	1.83382996289191	-0.222847272972149	-0.95172791979236	0.531192991035777	-0.282971120875717	-0.609354385721021	-0.38040101209292	-1.36296905913936	-2.60653719455205	-0.659516469369048	-0.750365009883594	0.0955601346838151	-0.355376482511727	0.933701243364789	0.0455620374869654	-0.167053807718875	-0.841365090216351
prt.3	1.85175535248044	-0.924521690440205	1.32278359463843	3.35454141083309	-0.50110102188575	-0.295051228682441	-0.494438541914708	-1.27222114999291	-0.335001812746045	-2.58025313532151	-0.219163262219225	-0.405877896959694	-0.9931860435119	-0.0381249180455087	-1.33826533289407	-0.117189086246098	-0.956433379979369	-0.247040575288911	-0.370777216374495	-1.51217277259119
prt.4	0.0329874763123122	0.259144994002602	0.92250628035682	0.00885905667459483	-2.79882317279947	-3.03583074724283	-2.41754464161412	-2.7759669088313	-3.48041537521319	-2.54649132649788	-2.39476028838504	-3.00895361379571	-3.22947609889015	-2.40952916529306	-3.40899181029092	-2.25591782402132	-2.86344954475018	-2.88488542604146	-3.16401117794732	-2.15807217231642
prt.5	3.10441726724103	2.49180302542961	-0.92311001370009	1.36900022271044	-0.370291448373637	-1.7249314809274	-1.12269062103539	0.337388811814966	-1.0400474181472	-1.12860719487031	-1.06646793278109	-1.87303798864979	-1.87244390171054	-1.19156081093917	-1.29336341417241	-1.60952565252097	-1.54399128439424	-0.300636760118134	-0.824741426673728	-0.819330105529321
prt.6	1.0736670107136	2.45089908701179	-0.624283028883789	1.60528547669998	-0.755972281039925	-0.964035122123443	-1.12930449214695	-0.714611852044869	-0.562827667073147	-0.310121510068657	0.30464287173315	-0.767682046241982	-0.790898126860184	-0.735523627738426	-0.359341409509581	-1.01287814597721	-0.147684007138538	-0.0313464524854233	-1.2386156650381	-1.53584834454496
prt.7	2.21188536359318	1.5164706611886	2.27686794277531	1.41363186476533	-1.79140590664459	-2.01423958883106	-0.843710732233327	-1.37253009391444	-0.954218699396659	-2.07101866948309	-1.07359001416465	-1.1546126752572	-1.9073522428466	-0.305392736889193	-0.786193795377747	-1.89124078263062	-1.56518148010981	-1.77241160034709	0.496891883716701	-0.664601486939606
prt.8	3.00571284385963	2.65638732872845	2.58019716426743	4.90591855845758	1.03670247059537	-0.04985552408968	-1.20811745815725	0.276621815348784	0.980575695760845	0.458557280773098	-2.66525517519124	-2.3080532699371	0.450068870527313	-1.82608301558993	3.15218847610171	0.603515047998214	0.885398200363074	1.58616645748446	-2.33124040109061	2.81041218972504
prt.9	3.10053105821048	-0.307111473431252	2.58191968736868	2.36543635754366	-0.794045635740303	-0.0977618206159648	-1.13304449019731	-0.654334434210435	-0.803353910511717	-0.797240058263049	-1.25036964173899	0.560824186732721	-0.742728880180098	-0.373863677836457	-0.629168299681754	-0.0243892153843411	0.825373647856232	-0.315059780556296	0.0508617318182484	-1.09801755223841
prt.10	-0.0473811250730503	3.81398259090222	3.47805988190214	2.73069956030077	-0.120498125950244	0.277645967543428	-0.609012889880958	0.604152979620761	1.01476780446627	0.211536598497795	0.495001650588626	0.332129114241064	0.0280579181808618	0.153062994566763	0.65700970418612	0.656013116810045	0.439519537161366	-0.705601078932073	0.0954630109858476	-0.169093745435167
